"EV24","FG","Q","SQ","TN","TX","UG","LAI","rd_imputed"
0.12,232.42,0.95,0.02,4.19,7.5,93.68,0.45,0.4
0.32,187.34,2.33,2.46,4.78,10.17,93.78,0.5,0
0.16,280.91,1.17,0.27,4.99,8.24,92.32,0.55,0
0.4,218.75,2.99,4.1,2.61,7.46,86.31,0.6,0.2
0.19,175.21,1.21,0.46,2.27,6.94,94.21,0.65,0.3
0.2,182.55,1.51,0.67,4.79,8.11,94.98,0.7,0
0.37,174.99,2.97,4.54,-0.81,7,94.08,0.875,0
0.37,189.36,3.49,5.68,-2.89,4.32,91.64,1.05,0
0.29,395.84,2.49,1.8,-0.97,8.05,84.52,1.225,14.9
0.1,297.36,0.92,0,4.06,6.56,95.07,1.4,0
0.28,465.01,2.64,3.17,3.68,8.39,88.59,1.575,1.1
0.3,534.28,2.14,1.25,5.93,8.7,85.36,1.75,1.5
0.1,622.43,0.49,0,7.83,11.21,90.44,1.925,3.2
0.34,505.63,2.72,3.51,3.03,11.26,80.43,2.1,1.1
0.4,277.12,3.41,5.8,1.11,8.76,89.49,1.96666666666667,0
0.18,132.78,1.56,0.69,-3.34,4.53,95.57,1.83333333333333,0
0.32,70.99,3.3,4.14,-5.46,2.33,95.5,1.7,0
0.41,155.39,4.28,6.64,-6.77,3.35,93.85,1.56666666666667,0
0.11,291.34,1.04,0.2,-2.63,0.52,98.23,1.43333333333333,0
0.14,383.66,1.42,0.46,-2.07,0.57,95.47,1.3,2.9
0.4,224.85,3.67,5.37,-1.14,6.03,91.91,1.325,0.6
0.23,449.31,2.12,1.73,-1.3,4.99,90.94,1.35,3.4
0.32,437.34,2.64,2.65,0.96,6.5,84.08,1.375,2.6
0.44,196.24,4.38,6.37,-6.5,2.53,81.91,1.4,0
0.47,180.41,5.44,6.62,-7.97,-0.75,79.96,1.425,1.7
0.1,331.91,0.84,0,-3.13,0.76,93,1.45,1.5
0.19,123.27,1.41,0,0.65,4.57,98.6,1.475,0.1
0.22,335.18,1.86,0.34,1.96,5.62,94.01,1.5,6
0.24,284.91,1.89,1.27,2.13,6.06,94.23,1.5625,0.3
0.17,564.73,1.18,0.93,4.69,9.75,82.11,1.625,0.8
0.4,469.05,2.94,2.32,1.33,7.19,82.57,1.6875,24.4
0.38,473.2,3.29,3.37,0.1,4.39,88.79,1.75,5.8
0.31,332.8,2.68,2.19,-0.26,4.14,88.46,1.8125,4.2
0.39,172.31,3.89,3.58,-2.86,2.6,95.51,1.875,0
0.08,159.5,1.02,0.24,-4.62,-0.1,95.57,1.9375,0
0.5,184.46,4.88,5.86,-4.97,-0.41,87.89,2,0
0.31,179.9,3.24,3.24,-5.63,-1.27,90.78,1.875,0
0.61,131.85,6.32,7.1,-6.49,2.69,81.74,1.75,0
0.51,158.36,4.87,6.38,-6.69,3.81,73.09,1.625,0
0.59,191.24,5.64,7.57,-5.64,4.22,80.07,1.5,0
0.56,68.38,6.03,7.4,-8.42,3.09,86.27,1.375,0
0.16,140.79,1.5,0.04,-4.39,1,89.13,1.25,0.2
0.17,131.55,1.52,0,-0.41,1.59,96.1,1.125,0
0.27,195.1,2.78,2.27,-5.09,0.01,83.69,1,0
0.6,213.72,6.42,7.56,-5.97,1.5,77.94,0.95,0
0.5,281.09,4.16,5.04,-4.83,6.84,69.64,0.9,0
0.53,293.92,4.44,4.36,1.06,9.59,68.92,0.85,0.9
0.46,371.6,3.64,3.19,2.88,7.39,87,0.8,7.4
0.12,372.84,1.07,0.05,2.45,7.58,94.02,0.75,0.7
0.23,143.79,1.83,0.31,2.1,4.66,87.38,0.7,0
0.44,328.06,3.62,2.21,-0.2,6.14,84.08,0.65,0.8
0.72,330.37,5.08,4.58,5.05,12.62,83.94,0.6,0.3
0.44,300.97,3.09,1.16,5.56,11.71,82.4,0.6,0.8
0.3,282.77,2.37,0.5,2.82,7.86,90.06,0.6,6.6
0.7,239.65,5.58,5.79,1.2,8.83,87.01,0.6,0
0.5,153.77,4.38,2.28,-0.09,7.69,85.73,0.6,0.1
0.2,291.27,1.54,0,2.11,4.71,93.24,0.6,3.4
0.22,323.31,1.88,0,-0.28,2.91,90.13,0.6,0
0.3,332.63,2.63,0.26,-2.79,1.12,83.07,0.6,0
0.16,325.29,1.56,0,-3.2,-0.15,82.85,0.6,1.5
0.23,289.27,2.18,0.22,-1.38,1.65,91.58,0.5375,3.6
0.52,385.12,4.03,2.76,0.17,5.65,85.93,0.475,0
1,444.03,8.4,8.44,-0.87,8.48,74.84,0.4125,0
1.03,251.8,8.66,8.78,-1.42,10.2,69.72,0.35,0
1.09,194.56,8.47,8.25,-1.2,15.2,73.36,0.2875,0
0.78,247.99,5.82,3.68,3.16,11.19,89.6,0.225,0.8
0.36,277.98,2.75,0.76,2.8,9.37,91.87,0.1625,0.4
0.79,144.09,6.1,3.8,0.84,10.55,84.66,0.1,0
0.29,304.55,2.2,0.25,0.46,7.7,91.08,0.1,0.6
0.21,468.85,1.57,0,6.82,11.18,95.13,0.1,4.9
1.18,391.14,8.31,6.1,7.83,12.42,84.39,0.1,3.6
0.18,639.05,1.26,0,8.6,11.16,91.66,0.1,36.2
0.41,833.18,2.69,1.06,4.09,10.97,82.96,0.1,6.5
0.88,329.75,7.08,5.81,-1.37,7.96,81.4,0.1,0.5
0.64,442.11,5.14,3.48,-0.33,8.15,77,0.1,0.4
0.46,501.7,3.14,0.15,6.47,10.76,79.84,0.1,0.2
0.44,601.32,3.29,0.45,5.74,12.17,74.48,0.1625,7.6
0.62,564,4.99,1.86,1.64,9.38,79.09,0.225,10.3
0.75,397.76,5.84,2.26,2.33,9.45,86.54,0.2875,2.5
0.48,620.16,3.54,0.7,3.08,8.48,72.71,0.35,0.3
0.7,302.13,5.3,1.75,0.61,10.42,72.67,0.4125,0
0.74,294.42,5.01,0.87,6.14,14.33,77.65,0.475,12
0.99,493.73,7.38,4.36,4.57,10.82,82.24,0.5375,6.9
0.63,241.02,4.89,1.88,3.92,8.68,89.06,0.6,1
0.69,225.48,5.28,2.24,0.54,9.97,87.49,0.5875,2.5
0.21,377.95,1.66,0,1.21,10.39,93.47,0.575,14.2
0.73,367.92,5.25,2.95,4,13.42,85.56,0.5625,0.5
1.66,135.48,12.48,8.66,-0.1,11.79,77.87,0.55,0
1.28,172.87,9.33,5.74,1.26,13.04,69.3,0.5375,0
1.92,277.64,13.51,9.23,2.91,15.1,59.31,0.525,0
1.41,196.44,10.47,5.86,0.73,14.97,73.46,0.5125,0
1.77,317.11,12.49,7.13,2.91,16.2,81.34,0.5,0
1.8,164.01,12.69,7.05,1.99,15.1,77.08,0.5375,0
2.09,187.29,14.74,10.63,0.05,17.37,74.14,0.575,0
1.21,449.68,8.37,4.01,6.05,10.88,67.73,0.6125,9.7
0.48,469.66,3.16,0.09,6.44,12.76,93.3,0.65,7
0.53,580.07,3.41,0.1,9.54,13,85.53,0.6875,0.6
0.56,590.17,3.82,0.11,9.28,12.2,85.09,0.725,2
1.55,380.87,11.42,6.55,1.61,11.16,72.29,0.7625,0.7
1.95,265.06,14.85,9.01,-1.02,12.44,68.21,0.8,0
2.28,369.9,16.06,9.74,1.33,14.55,72.11,0.8,0
2.19,423.8,15.31,9.35,4.22,14.15,68.89,0.8,0
2.43,433.62,17.17,10.98,2.09,15.44,56.79,0.8,0
2.25,313,15.8,8.33,2.83,14.44,73.89,0.8,0
2.69,225.3,18.49,11.62,1.66,17.87,60.99,0.8,0
2.66,241.81,17.28,11.24,1.5,20,63.56,0.8,0
1.09,373.47,6.96,1.46,8.57,16.23,76.38,0.8,0
2.67,311.9,15.9,8.57,10.05,22.4,62.62,0.8,0
2.44,306.26,14.56,6.8,9.11,23.38,66.75,0.8,0.3
0.97,186.9,6.36,0.61,7.33,14.85,88.69,0.8,1.2
2.38,214.45,15.97,8.75,5.02,17.98,80.21,0.8,0
1.84,112.53,13.08,5.77,3.52,15.23,85.02,0.8,0
2.28,146,15.23,8.61,1.9,17.01,72.63,0.8,0
1.46,296.25,10.39,1.99,4.51,14.12,78.83,0.8,0.2
1.03,231.43,7.5,1.58,2.97,11.01,77.95,0.8,0.2
1.2,235.23,8.36,1.4,2.19,14.1,74.8,0.8,0
1.97,120.32,13.5,5.12,3.33,15,73.07,0.775,0
3.23,126.1,20.79,11.9,0.6,22.8,64.4,0.75,0
1.8,332.1,11.96,4.64,3.85,14.73,69.18,0.725,0
1.86,288.34,13.18,5.86,1.26,15.41,72.53,0.7,0
1.06,455.01,7.4,0.66,6.16,13.01,78.25,0.675,1.1
1.92,330.75,13.48,5.13,1.81,13.99,75.81,0.65,0
0.76,254.8,5.5,0.3,1.74,11.96,76.41,0.625,0.8
1.56,426.66,10.84,3.93,4.59,13,71.99,0.6,0
1.49,301.08,10.82,3.24,4.23,11.68,72.68,0.6,11.9
2.07,355.43,15.72,6.91,1.4,11.84,75.58,0.6,0.4
2.24,283.27,17.45,9.84,-0.9,11.04,71.18,0.6,0
2.27,280.9,18.7,9.21,-2.02,9.22,60.86,0.6,0
2.95,126.56,22.97,13.17,-4.13,12.8,59.88,0.6,0
1.3,350.21,8.93,0.66,4.06,15.37,69.21,0.6,2.6
1.82,344.35,13.2,4.7,3.17,11.5,70.16,0.6,0
1.72,230.61,13.07,4.98,0.96,11.34,73.2,0.6,0
2.06,371.22,14.34,3.54,0.95,15.38,68.99,0.6375,1.2
2.66,381.26,20.53,10.55,-0.19,11.01,71.51,0.675,0.6
2.5,217.02,18.09,8.53,-0.59,11.72,72.7,0.7125,0
2.09,215.73,16.44,7.6,-2.45,12.12,69.23,0.75,0
1.61,255.89,11.66,3.89,0.82,12.37,75.2,0.7875,0.3
2.35,161.18,17.06,7.64,-0.16,13.88,65.99,0.825,0
3.75,488.69,23.96,12.1,3.28,19.36,46.56,0.8625,1.1
1.17,246.69,7.8,0.43,5.86,13.4,74.54,0.9,0.5
1.19,198.72,8.16,1.56,4.76,15.02,88.54,0.875,4.2
