"EV24","FG","Q","SQ","TN","TX","UG","LAI","rd_imputed","VWC5_imputed"
0.13,372.67,1.12,0.06,2.48,7.55,93.91,0.5625,0.8,0.2661
0.23,155.31,1.83,0.55,2.26,4.78,87.03,0.475,0,0.2749
0.42,352.17,3.42,2.03,-0.26,6.14,84.45,0.3875,0.8,0.2669
0.71,352.56,5,4.38,5.09,12.52,84.42,0.3,0.4,0.2623
0.45,314.5,3.16,1.23,5.57,11.61,82.81,0.3,0.4,0.2579
0.31,289.58,2.45,0.55,2.82,7.76,90.41,0.3,5.8,0.2573
0.69,237.48,5.55,5.88,1.1,8.79,88.06,0.3,0,0.2792
0.45,157.06,4,1.94,0.08,7.52,86.55,0.3,0.2,0.2708
0.19,325.91,1.53,0,1.88,4.51,93.21,0.3,3.4,0.2638
0.2,353.27,1.71,0,-0.43,2.41,90.46,0.3,0,0.2627
0.26,357.35,2.36,0.28,-2.94,0.63,83.05,0.3,0,0.2576
0.16,344.05,1.59,0,-3.59,-0.42,83.33,0.3,1.4,0.2526
0.22,310.08,2.04,0.21,-1.61,1.4,91.21,0.275,4.7,0.2491
0.53,418.84,4.24,2.93,0,4.96,86.11,0.25,0,0.252
1,462.76,8.35,8.59,-1.02,8.17,75.26,0.225,0,0.2526
1.02,269.88,8.6,8.75,-1.34,9.96,69.99,0.2,0,0.2489
1.08,209.64,8.39,8.15,-1.02,14.94,73.96,0.175,0.1,0.2454
0.67,273.44,5,2.89,3.22,10.74,90.68,0.15,0.7,0.2424
0.38,292.43,2.93,0.79,2.63,9.29,92.08,0.125,0.4,0.2409
0.81,158.57,6.19,3.93,1.14,10.6,84.5,0.1,0,0.2406
0.27,322.76,2.12,0.23,0.79,7.83,91.78,0.1,0.7,0.2387
0.23,488.22,1.62,0.03,6.81,11.15,95.16,0.1,6.2,0.2383
1.21,407.74,8.52,6.47,7.68,12.28,83.83,0.1,4,0.2626
0.19,652.31,1.27,0,8.46,11.18,91.66,0.1,36.7,0.2848
0.39,857.92,2.56,0.98,4.1,10.92,83.45,0.1,7.3,0.3362
0.82,343.29,6.64,5.49,-1.41,7.96,81.12,0.1,0,0.3146
0.6,467.7,4.79,2.95,-0.08,8.16,77.64,0.1,0.7,0.2956
0.42,524.74,2.87,0.07,6.5,10.65,81.38,0.1,0,0.2806
0.43,613.4,3.31,0.44,5.57,11.9,75.51,0.125,7.3,0.2751
0.61,584.36,4.83,1.78,1.73,9.02,79.87,0.15,8.6,0.2859
0.75,393.96,5.91,2.4,2.4,9.45,86.58,0.175,3.7,0.2935
0.5,634.6,3.71,0.85,3.13,8.38,74.21,0.2,1.5,0.2917
0.67,318.84,5.09,1.71,0.64,10.11,73.77,0.225,0.4,0.2791
0.74,304.86,5.06,0.87,5.99,14.22,78.57,0.25,11.6,0.2721
0.99,508.71,7.4,4.37,4.5,10.8,82.58,0.275,8.2,0.3161
0.68,234.32,5.22,2.12,3.79,8.78,88.7,0.3,1.3,0.3174
0.7,227.78,5.36,2.26,0.78,9.87,87.22,0.3,3.9,0.3055
0.21,387.21,1.64,0.02,1.22,10.39,93.5,0.3,13.9,0.3197
0.75,388.96,5.4,2.93,3.87,13.29,85.54,0.3,0.4,0.3174
1.7,144.54,12.39,8.64,-0.37,11.85,77.95,0.3,0,0.2975
1.25,177.67,9.14,5.6,1.48,12.92,69.92,0.3,0,0.281
1.94,285.87,13.67,9.46,2.97,15,60.58,0.3,0,0.2684
